0,1,0,15,330,3
1,1,0,13,286,4
2,2,3,15,333,3
3,2,3,13,289,4
4,3,7,15,337,3
5,3,7,13,293,4
6,4,10,15,340,3
7,4,10,13,296,4
8,5,11,15,341,3
9,5,11,13,297,4
10,6,11,15,341,3
11,6,11,13,297,4
12,7,11,15,341,3
13,7,11,13,297,4
14,8,11,15,341,3
15,8,14,12,278,4
16,9,11,15,341,3
17,9,15,11,257,4
18,9,21,12,285,6
19,9,21,8,197,1
20,9,21,5,131,2
21,9,0,9,198,5
22,10,11,15,341,3
23,10,18,12,282,6
24,10,16,8,192,1
25,10,19,8,195,4
26,10,13,5,123,2
27,10,3,9,201,5
28,11,11,14,319,3
29,11,16,11,258,6
30,11,7,5,117,2
31,11,14,7,168,1
32,11,18,5,128,4
33,11,5,10,225,5
34,12,12,14,320,3
35,12,6,10,226,5
36,12,8,5,118,2
37,12,15,8,191,1
38,12,18,5,128,4
39,12,17,11,259,6
40,13,12,14,320,3
41,13,15,8,191,1
42,13,8,5,118,2
43,13,18,5,128,4
44,13,17,11,259,6
45,13,6,10,226,5
46,14,13,15,343,3
47,14,7,11,249,5
48,14,18,12,282,6
49,14,9,6,141,2
50,14,16,9,214,1
51,14,19,6,151,4
52,15,13,15,343,3
53,15,7,11,249,5
54,15,9,6,141,2
55,15,16,9,214,1
56,15,18,12,282,6
57,15,19,6,151,4
58,16,12,14,320,3
59,16,15,8,191,1
60,16,6,10,226,5
61,16,17,11,259,6
62,16,18,5,128,4
63,16,8,5,118,2
64,17,5,9,203,5
65,17,11,13,297,3
66,17,14,7,168,1
67,17,7,4,95,2
68,17,16,10,236,6
69,17,17,4,105,4
70,18,10,12,274,3
71,18,13,6,145,1
72,18,6,3,72,2
73,18,16,3,82,4
74,18,4,8,180,5
75,18,15,9,213,6
76,19,13,6,145,1
77,19,6,3,72,2
78,19,10,12,274,3
79,19,16,3,82,4
80,19,4,8,180,5
81,19,15,9,213,6
82,20,10,12,274,3
83,20,13,6,145,1
84,20,6,3,72,2
85,20,16,3,82,4
86,20,4,8,180,5
87,20,15,9,213,6
88,21,13,7,167,1
89,21,7,4,95,2
90,21,5,9,203,5
91,21,11,13,297,3
92,21,16,10,236,6
93,21,17,4,105,4
94,22,12,14,320,3
95,22,14,8,190,1
96,22,17,11,259,6
